id_vente,Date mutation,Valeur fonciere,id_bien
1,2020-01-02,165000,1
2,2020-01-02,355680,2
3,2020-01-02,229500,3
4,2020-01-02,125000,4
5,2020-01-02,90000,5
6,2020-01-02,93000,6
7,2020-01-02,298100,7
8,2020-01-02,163500,8
9,2020-01-02,53000,9
10,2020-01-02,136000,10
11,2020-01-02,125900,11
12,2020-01-02,234000,12
13,2020-01-02,46210,13
14,2020-01-02,129000,14
15,2020-01-02,122500,15
16,2020-01-02,86025,16
17,2020-01-02,79000,17
18,2020-01-02,81795,18
19,2020-01-02,156000,19
20,2020-01-02,139900,20
21,2020-01-02,163870,21
22,2020-01-02,108100,22
23,2020-01-02,205000,23
24,2020-01-02,94000,24
25,2020-01-02,149500,25
26,2020-01-02,111500,26
27,2020-01-02,140000,27
28,2020-01-02,122850,28
29,2020-01-02,135850,29
30,2020-01-02,135500,30
31,2020-01-02,71250,31
32,2020-01-02,107000,32
33,2020-01-02,148400,33
34,2020-01-02,132000,34
35,2020-01-02,107194,35
36,2020-01-02,57200,36
37,2020-01-02,124770,37
38,2020-01-02,67000,38
39,2020-01-02,150830,39
40,2020-01-02,68900,40
41,2020-01-02,120000,41
42,2020-01-02,135460,42
43,2020-01-02,62000,43
44,2020-01-02,281000,44
45,2020-01-02,357000,45
46,2020-01-02,374000,46
47,2020-01-02,1147650,47
48,2020-01-02,145000,48
49,2020-01-02,324120,49
50,2020-01-02,408220,50
51,2020-01-02,582670,51
52,2020-01-02,80000,52
53,2020-01-02,840250,53
54,2020-01-02,266000,54
55,2020-01-02,473000,55
56,2020-01-02,207200,56
57,2020-01-02,49000,57
58,2020-01-02,101250,58
59,2020-01-02,35000,59
60,2020-01-02,132000,60
61,2020-01-02,472950,61
62,2020-01-02,478161,62
63,2020-01-02,153700,63
64,2020-01-02,155800,64
65,2020-01-02,624000,65
66,2020-01-02,135700,66
67,2020-01-02,196000,67
68,2020-01-02,172850,68
69,2020-01-02,120500,69
70,2020-01-02,224000,70
71,2020-01-02,367000,71
72,2020-01-02,132840,72
73,2020-01-02,78500,73
74,2020-01-02,72000,74
75,2020-01-02,107100,75
76,2020-01-02,134000,76
77,2020-01-02,68181,77
78,2020-01-02,275900,78
79,2020-01-02,160000,79
80,2020-01-02,267740,80
81,2020-01-02,395300,81
82,2020-01-02,269000,82
83,2020-01-02,406400,83
84,2020-01-02,326500,84
85,2020-01-02,275050,85
86,2020-01-02,138000,86
87,2020-01-02,65000,87
88,2020-01-02,185750,88
89,2020-01-02,235000,89
90,2020-01-02,176000,90
91,2020-01-02,140000,91
92,2020-01-02,170950,92
93,2020-01-02,265000,93
94,2020-01-02,112000,94
