id_bien,type_voie,VOIE ,surface_carrez,type_local,surface_reel,nb_pieces,id_codedep_codecommune
1,RUE,DU CHATEAU,"48,22",Appartement,48,3,1103
2,BD,EDOUARD BAUDOIN,"39,11",Appartement,40,1,6004
3,RUE,MARCEAU,"80,25",Appartement,82,3,6088
4,RTE,DES VESPINS RN7,"27,51",Appartement,27,1,6123
5,RES,LES ARPEGES BD DES ABA,"47,33",Appartement,47,2,13005
6,RUE,DU GRAND MADIER,"25,31",Appartement,24,1,13028
7,AV,DU PRADO,"70,84",Appartement,70,3,13208
8,PARC,DESSUARD,"67,19",Appartement,66,3,13212
9,RUE,DE NORMANDIE,"18,89",Appartement,19,1,14338
10,ALL,DES NOISETIERS,"105,37",Maison,99,4,14366
11,RUE,ROUGET DE L ISLE,"31,99",Appartement,34,2,17300
12,RUE,BERTHE MORISOT,"96,21",Maison,100,5,25056
13,RUE,DU POHER,"30,86",Appartement,31,1,29232
14,RUE,DES JARDINS,"66,21",Appartement,67,3,29260
15,AV,DU COMMANDANT TAILLANDIER,"45,58",Appartement,46,2,31555
16,RUE,PAUL DENUCE,"23,2",Appartement,27,1,33063
17,RUE,SAINTE CATHERINE,"13,1",Appartement,12,1,33063
18,,LA BAYNASSE SUD,29,Appartement,29,2,33097
19,RUE,DE BELFORT,"51,4",Appartement,51,2,33449
20,RUE,MARC ANTOINE MENARD,"16,79",Appartement,18,1,34145
21,AV,ANDRE CHASSEFIERE,"51,4",Appartement,51,2,34150
22,PL,DES ETATS DU LANGUEDOC,"68,22",Appartement,85,3,34199
23,RUE,JEAN-JACQUES ROUSSEAU,"88,45",Maison,89,4,37156
24,AV,DE GRAMMONT,"42,94",Appartement,46,2,37261
25,BD,MAL FOCH,"76,48",Appartement,77,4,38185
26,RTE,DU TAILLEUR,"48,23",Maison,53,3,40266
27,RES,MER ET GOLF-LE BOUCANIER,"49,91",Appartement,48,2,40328
28,ALL,JEAN PERRIN,"46,3",Appartement,45,2,44143
29,RUE,FERDINAND BUISSON,"47,24",Appartement,48,2,44184
30,AV,DE CHAMPAGNE,"81,09",Appartement,79,4,51230
31,RUE,MESSIER,"39,69",Appartement,39,2,54395
32,,GOLF SAINT LAURENT,"43,85",Appartement,44,3,56161
33,RUE,DE PRUNEVEAUX,"108,78",Appartement,124,4,58194
34,BD,DU GENERAL DE GAULLE,"89,84",Appartement,71,3,59512
35,RUE,DE NOTRE DAME DU THIL,"48,35",Appartement,48,2,60057
36,RUE,DE LA VILLE,"19,11",Appartement,18,1,60155
37,SQ,JEAN BAPTISTE CLEMENT,"97,39",Appartement,97,5,60159
38,AV,JEAN JAURES,"31,73",Appartement,32,1,60524
39,RUE,DE LA BUSSIERE,"49,89",Appartement,51,2,69149
40,RUE,ARTAUD,"20,02",Appartement,20,1,69384
41,AV,D ABONDANCE,"34,86",Appartement,33,2,74119
42,AV,DU MONT D ARBOIS,"39,05",Appartement,39,2,74236
43,RTE,DE LA TELECABINE,"18,93",Appartement,20,1,74238
44,AV,DES VALLEES,"88,59",Appartement,88,4,74278
45,BD,SAINT MARCEL,"30,05",Appartement,41,2,75105
46,BD,DE MAGENTA,"32,3",Appartement,32,2,75110
47,AV,DE LA REPUBLIQUE,"120,28",Appartement,120,4,75111
48,RUE,SAINT MAUR,"17,94",Appartement,28,2,75111
49,RUE,DU MOULIN JOLY,"28,39",Appartement,28,2,75111
50,RUE,ERARD,18,Appartement,41,2,75112
51,RUE,DE CHARENTON,"51,44",Appartement,51,3,75112
52,RUE,D AUSTERLITZ,"10,06",Appartement,10,1,75112
53,RUE,EMERIAU,"88,3",Appartement,88,4,75115
54,RUE,SQUARE CARPEAUX,"23,98",Appartement,18,1,75118
55,AV,DE CLICHY,"53,59",Appartement,39,2,75118
56,RUE,MARCADET,"24,3",Appartement,25,2,75118
57,AV,ALEXANDRE ANQUETIN,"61,52",Appartement,59,4,76217
58,PARC,DE LA BRESLE,"57,27",Appartement,58,3,76451
59,RUE,FRANCOIS LAPERT,"23,98",Appartement,25,1,76655
